extract_timestamp|origin|destination|depart_date|best_price
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-20|3674950.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-21|3674950.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-22|3674950.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-07|3674950.0
2022-12-24 11:25:37.656571|JKTC|BDO|2023-04-02|3694830.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-24|628391.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-27|628391.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-28|628391.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-25|737711.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-16|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-17|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-18|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-19|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-23|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-02|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-03|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-26|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-04|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-20|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-21|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-22|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-09|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-05|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-06|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-29|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-07|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-08|1347671.0
2022-12-24 11:25:37.656571|JKTC|MLG|2023-04-12|1347671.0
